profile,start,peak,end
1,2015-07-09 16:19:00,2015-07-09 17:16:00,2015-07-09 17:53:00
2,2015-07-10 22:00:00,2015-07-10 22:30:00,2015-07-10 23:00:00
3,2015-07-14 21:22:00,2015-07-14 21:51:00,2015-07-14 22:33:00
4,2015-07-15 22:27:00,2015-07-15 22:28:00,2015-07-15 22:35:00
5,2015-07-15 22:29:00,2015-07-15 22:30:00,2015-07-15 22:35:00
6,2015-07-16 16:29:00,2015-07-16 17:27:00,2015-07-16 19:00:00
7,2015-07-16 18:47:00,2015-07-16 18:49:00,2015-07-16 19:00:00
8,2015-07-16 20:41:00,2015-07-16 21:40:00,2015-07-16 22:10:00
9,2015-07-23 14:50:00,2015-07-23 15:20:00,2015-07-23 17:03:00
10,2015-07-23 15:55:00,2015-07-23 16:24:00,2015-07-23 17:03:00
11,2015-07-23 17:04:00,2015-07-23 17:33:00,2015-07-23 18:08:00
12,2015-07-27 17:39:00,2015-07-27 18:08:00,2015-07-27 20:53:00
13,2015-07-27 18:44:00,2015-07-27 19:13:00,2015-07-27 20:53:00
14,2015-07-27 19:49:00,2015-07-27 20:18:00,2015-07-27 20:53:00
15,2015-07-27 20:54:00,2015-07-27 21:23:00,2015-07-27 21:58:00
16,2015-07-28 18:18:00,2015-07-28 18:49:00,2015-07-28 23:20:00
17,2015-07-28 19:27:00,2015-07-28 19:58:00,2015-07-28 23:20:00
18,2015-07-28 20:37:00,2015-07-28 21:38:00,2015-07-28 23:20:00
19,2015-07-29 02:39:00,2015-07-29 03:41:00,2015-07-29 05:23:00
20,2015-07-29 08:42:00,2015-07-29 09:43:00,2015-07-29 11:20:00
21,2015-07-29 14:39:00,2015-07-29 15:41:00,2015-07-29 17:18:00
22,2015-07-29 20:37:00,2015-07-29 21:38:00,2015-07-29 23:21:00
23,2015-07-30 02:40:00,2015-07-30 03:41:00,2015-07-30 05:23:00
24,2015-07-30 08:42:00,2015-07-30 09:44:00,2015-07-30 11:26:00
25,2015-07-30 14:45:00,2015-07-30 15:46:00,2015-07-30 17:23:00
26,2015-07-30 20:42:00,2015-07-30 21:44:00,2015-07-30 23:26:00
27,2015-07-31 02:45:00,2015-07-31 03:47:00,2015-07-31 05:29:00
28,2015-07-31 08:48:00,2015-07-31 09:50:00,2015-07-31 11:32:00
29,2015-07-31 14:51:00,2015-07-31 15:53:00,2015-07-31 17:35:00
30,2015-08-03 18:08:00,2015-08-03 19:12:00,2015-08-03 20:55:00
31,2015-08-04 00:14:00,2015-08-04 01:18:00,2015-08-04 03:01:00
32,2015-08-04 06:20:00,2015-08-04 07:24:00,2015-08-04 09:08:00
33,2015-08-04 12:26:00,2015-08-04 13:30:00,2015-08-04 15:13:00
34,2015-08-04 16:26:00,2015-08-04 16:29:00,2015-08-04 16:39:00
35,2015-08-04 16:31:00,2015-08-04 16:33:00,2015-08-04 16:39:00
36,2015-08-04 16:35:00,2015-08-04 16:37:00,2015-08-04 16:39:00
37,2015-08-04 16:40:00,2015-08-04 17:37:00,2015-08-04 19:13:00
38,2015-08-05 16:40:00,2015-08-05 17:39:00,2015-08-05 19:15:00
39,2015-08-05 22:34:00,2015-08-05 23:33:00,2015-08-06 01:09:00
40,2015-08-06 04:28:00,2015-08-06 05:28:00,2015-08-06 07:04:00
41,2015-08-06 15:41:00,2015-08-06 16:40:00,2015-08-06 18:16:00
42,2015-08-06 21:35:00,2015-08-06 22:31:00,2015-08-07 00:00:00
43,2015-08-07 03:19:00,2015-08-07 04:16:00,2015-08-07 05:45:00
44,2015-08-07 09:04:00,2015-08-07 10:00:00,2015-08-07 11:30:00
45,2015-08-07 14:49:00,2015-08-07 15:45:00,2015-08-07 17:14:00
46,2015-08-07 20:07:00,2015-08-07 21:12:00,2015-08-07 22:48:00
47,2015-08-07 23:14:00,2015-08-07 23:19:00,2015-08-07 23:23:00
48,2015-08-18 00:06:00,2015-08-18 00:07:00,2015-08-18 00:08:00
49,2015-08-19 21:02:00,2015-08-19 22:02:00,2015-08-19 22:33:00
50,2015-08-20 15:55:00,2015-08-20 16:54:00,2015-08-20 18:52:00
51,2015-08-20 17:24:00,2015-08-20 18:23:00,2015-08-20 18:52:00
52,2015-08-20 20:45:00,2015-08-20 20:51:00,2015-08-20 20:59:00
53,2015-08-20 21:12:00,2015-08-20 21:27:00,2015-08-20 22:22:00
54,2015-08-20 21:41:00,2015-08-20 22:01:00,2015-08-20 22:22:00
55,2015-08-21 17:38:00,2015-08-21 17:59:00,2015-08-21 19:44:00
56,2015-08-21 18:28:00,2015-08-21 18:48:00,2015-08-21 19:44:00
57,2015-08-21 19:48:00,2015-08-21 20:47:00,2015-08-21 23:09:00
58,2015-08-25 18:27:00,2015-08-25 19:28:00,2015-08-25 21:04:00
59,2015-08-26 21:35:00,2015-08-26 22:34:00,2015-08-27 00:10:00
60,2015-08-27 18:58:00,2015-08-27 19:58:00,2015-08-27 21:33:00
61,2015-08-27 21:37:00,2015-08-27 22:37:00,2015-08-28 00:13:00
62,2015-09-01 20:56:00,2015-09-01 21:55:00,2015-09-01 23:31:00
63,2015-09-02 18:03:00,2015-09-02 19:02:00,2015-09-02 20:38:00
64,2015-09-03 17:41:00,2015-09-03 18:41:00,2015-09-03 20:17:00
65,2015-09-03 20:21:00,2015-09-03 21:20:00,2015-09-03 22:56:00
66,2015-09-30 16:04:00,2015-09-30 17:04:00,2015-09-30 18:40:00
67,2015-10-07 22:49:00,2015-10-07 23:43:00,2015-10-08 01:06:00
68,2015-10-08 04:35:00,2015-10-08 05:28:00,2015-10-08 06:51:00
69,2015-10-08 10:20:00,2015-10-08 11:13:00,2015-10-08 12:36:00
70,2015-10-08 16:05:00,2015-10-08 16:58:00,2015-10-08 18:21:00
71,2015-10-08 21:29:00,2015-10-08 22:22:00,2015-10-08 23:45:00
72,2015-10-09 03:14:00,2015-10-09 04:07:00,2015-10-09 05:30:00
73,2015-10-09 08:59:00,2015-10-09 09:52:00,2015-10-09 11:15:00
74,2015-10-09 14:44:00,2015-10-09 15:37:00,2015-10-09 17:00:00
75,2015-10-09 18:16:00,2015-10-09 19:09:00,2015-10-09 19:36:00
76,2015-10-09 20:26:00,2015-10-09 21:19:00,2015-10-09 21:46:00
77,2015-10-09 22:56:00,2015-10-09 23:31:00,2015-10-10 00:54:00
